#,Who,=,*,A,B,C,D,E
121,scau_TAF,5360,,488,952,1386,1134,1400
123,*Minnakhmetov,5358,,380,924,1356,1128,1570
124,BAJim_HZJ,5340,,422,912,1302,1504,1200
125,*pajenegod,5320,,492,816,1296,1576,1140
126,xtqqwq,5316,,-1,972,1422,1562,1360
127,Balajiganapathi,5274,,406,878,1326,1324,1340
128,*AIDOS,5256,-2,234,688,1006,1448,1980
129,Magic_is_real,5254,,338,700,1024,1152,2040
130,legendtyb,5252,,486,920,1354,1332,1160
131,*natsugiri,5242,,492,844,1236,1560,1110
131,uuzlovetree,5242,,492,822,1242,1296,1390
133,cqqqqwq,5232,,494,952,1302,1284,1200
134,NickH,5204,,440,824,1332,1488,1120
135,lckcode,5176,,494,940,1246,986,1510
136,retu_io,5168,,430,896,1380,972,1490
137,Cain,5118,,494,890,1362,1052,1320
138,mrclr,5104,,488,924,1272,1090,1330
139,DAyamaCTF,5076,,494,964,736,1502,1380
140,DankShadow,5040,+4,492,964,1404,-1,1780
141,47th-draganov,4988,+4,492,968,1416,1712,-10
142,bert30702,4986,,368,892,1416,1120,1190
143,evenharder,4946,+5,442,964,1410,1680,
144,Datenshi,4904,+1,494,960,1410,-3,1940
145,6thUtaha,4882,+2,442,972,1428,-4,1840
146,*PikMike,4752,,440,952,-1,1720,1640
147,CountOlaf,4694,,474,928,-1,1592,1700
148,timo14z,4688,+2,488,952,1240,1808,-6
149,loomas,4656,,296,608,892,1670,1190
150,RedNextCentury,4648,,496,968,1416,1768,-3
151,MesyuraTheOldDumbGoblin,4638,+2,482,984,1392,1630,
152,alexey_kuldoshin,4634,+2,464,944,1446,1580,-5
153,MarcosK,4630,+2,494,910,1386,1640,
154,Soul_Full_Of_Thunder,4606,+3,492,964,1374,1526,-2
155,DieOrBreakout,4596,,490,956,1380,-2,1770
156,Kostya_Smirnov,4594,,494,916,1440,1744,-4
157,Mlxa,4578,,428,924,1416,,1810
158,dlwocks31,4564,,496,972,1392,1704,-3
159,xb2403,4558,,488,960,1398,1712,-5
160,tugushka,4552,+1,496,968,1332,1656,-3
161,gioto,4536,,494,968,1422,1652,-11
162,Hayashimo,4534,,494,976,1360,1704,
162,Trisolaris,4534,,444,956,1374,-2,1760
164,_AxclbkJ_,4530,,488,914,1368,-4,1760
164,MishaPrigara,4530,+1,492,964,1398,1576,-2
166,*Lawali,4520,,492,952,1380,1696,-4
167,yah01,4518,,214,912,-1,1622,1770
168,shihoru,4510,,434,948,1392,1736,-4
169,SlavaSSU,4504,+2,494,948,1318,1544,-2
170,benson1029,4492,,496,980,1386,1630,-3
171,Snipx,4484,,494,968,1374,1648,-1
172,Catmoonlight,4474,,444,964,1386,1680,-2
173,JSK_Darko,4468,,488,956,1368,1656,
174,Sorting,4466,,492,964,1386,1624,-3
175,bitset0,4462,,494,968,1410,1590,-3
176,PugachAG,4458,,494,964,1368,1632,-1
177,KieranHorgan,4456,+2,494,960,1344,1458,
178,Meowl,4452,,494,968,1374,1616,
178,edenooo,4452,,492,964,1356,1640,-2
180,HatsuneMikuo,4446,,434,940,1368,1704,-5
181,hermano95,4442,,492,960,1374,1616,-3
182,*Ashishgup,4440,,496,972,1434,1538,
183,tiliguzov,4432,,490,952,1350,1640,-1
184,*Aleksandr2754,4424,,492,960,1356,1616,
185,mredigonda,4418,,486,936,1356,1640,-1
186,PrakharJain,4410,,492,968,1374,1576,
187,TwoMinions,4406,,484,932,1350,1640,-8
187,from_last_to_first,4406,,488,956,1386,1576,-5
