#,Who,=,*,A,B,C,D,E
1741,BIJOY_SUST,2270,,418,884,968,-2,
1742,piyush380,2268,,480,812,976,,
1743,serhatgiydiren,2266,,426,916,924,,
1743,digu_J,2266,,394,852,1020,,
1745,CheaSim,2264,,304,814,1146,-6,
1745,_ktulu_,2264,,416,798,1050,,
1747,boris918,2260,,370,916,974,-3,
1747,winer00,2260,,482,806,972,,
1747,r3t,2260,,380,712,1168,-1,
1747,DanLys,2260,,484,830,946,,
1747,wty92911,2260,,-1,928,1332,-5,-8
1752,P.O.F,2258,,472,850,936,,
1752,CindyMarshall,2258,,292,820,1146,,-1
1752,Khanj,2258,,398,860,1000,,
1752,hoyamag,2258,,348,848,1062,,
1752,Crosspiece,2258,,352,788,1118,-4,
1757,percy3538,2256,,326,880,1050,,
1757,Ghost0fSparta,2256,,322,860,1074,-6,
1757,dat22,2256,,484,724,1048,,
1760,mcmf,2254,,390,562,1302,-1,-1
1760,kevinpatel_20,2254,,272,896,1086,,
1762,Solo_Player.,2250,,186,878,1186,-2,
1762,1287365536,2250,,356,814,1080,-1,
1762,CTFang,2250,,482,772,996,,
1762,-_-_-_-,2250,,484,920,846,,
1762,Hamza,2250,,490,882,878,,
1762,mksgrd,2250,,482,814,954,,
1768,tender,2248,,418,888,942,,
1768,ajecc,2248,,492,964,792,,
1770,zacker-22,2246,,196,856,1194,,
1770,liweihang,2246,,476,888,882,,
1770,Skaty,2246,,410,872,964,,
1770,yatinpatel,2246,,484,916,846,,
1770,shurongwang,2246,,492,878,876,-5,
1775,Zing_,2244,,482,798,964,,
1775,wxl6666,2244,,462,860,922,,
1777,tears_dont_fall,2242,,484,904,854,,
1778,zhaoluo,2240,,468,806,966,,
1778,mira318,2240,,414,782,1044,,
1780,dhruvil_sutariya,2238,-1,486,884,918,,
1780,scor-A,2238,,398,828,1012,,
1780,god_alonely,2238,,432,842,964,,
1780,Dillonh_,2238,,406,800,1032,-7,
1784,limgit,2236,,396,880,960,,
1784,VeraK,2236,,470,716,1050,,
1784,nityashagrawal,2236,,480,866,890,,
1787,SugarSBN,2234,,494,944,-1,796,
1787,Maus_74,2234,,492,944,798,,
1787,indexs,2234,,380,876,978,,
1787,I_Love_NamiraSharmeen,2234,,452,876,906,,
1787,Lapokin,2234,,428,782,1024,,
1792,Nitori_Himari,2232,+1,326,816,990,,
1792,ACist,2232,,310,806,1116,-3,
1794,Houston-Rockets,2230,,482,788,960,,
1794,IITianUG,2230,,484,900,846,,
1794,l-_-l,2230,,150,944,1136,-2,
1794,nvystys,2230,,400,744,1086,,
1798,kp_26,2228,,476,912,840,,
1798,juruo_hjr,2228,,448,708,1072,-1,
1798,happy163,2228,,486,886,856,,
1798,lakshaygpt28,2228,,482,858,888,,
1798,mingzzc,2228,,442,828,958,,
1803,Surprised_Pikachu,2226,,488,850,888,,
1803,breathe_fire,2226,,-1,912,1314,,
1803,sadra17,2226,,480,916,830,,
1806,VishwasLathi,2224,,416,880,928,,
1806,deepanshu,2224,,490,874,860,-3,
1806,Deimos,2224,,422,908,894,,
1806,_Ice_Tea_,2224,,248,940,1036,,
1810,ACgay_caoyue,2222,,362,750,1110,,-1
1810,TANG1813,2222,,480,852,890,,
1810,tomas.o.sc,2222,,354,872,996,,
1813,Pulzatio,2220,,250,860,1110,,
1814,nanatoday,2218,,486,694,1038,-2,
1814,Zabiyaka,2218,,426,862,930,,-1
1814,bhabyajain_brj,2218,,412,856,950,,
1817,wreck_count,2216,,490,748,978,,
1817,ruban,2216,,428,792,996,,
1817,kiimak,2216,,486,878,852,,
1817,rickychandra,2216,,444,800,972,,
1821,revolIA,2214,,424,740,1050,,
1821,PAG,2214,,454,812,948,,
1823,pg999w,2212,,334,816,1062,,
1823,gebixiaofang,2212,,482,766,964,,
1825,vvv23,2210,,482,708,1020,,
1825,timesong,2210,,466,810,934,,
1825,aliencoder22,2210,,344,858,1008,,
1828,krypt0Maniac,2208,,420,834,954,,
1828,spiyush118,2208,,288,852,1068,,
1828,SaInsist,2208,,478,884,846,,
1831,Vid325,2206,,254,848,1104,-1,
1831,tarakanolov,2206,,428,698,1080,-1,
1831,tang891228,2206,,380,788,1038,-1,
1834,d_orwell,2204,,466,796,942,,
1834,Dipjal,2204,,492,948,764,-6,
1834,big_yellow_doge,2204,,476,824,904,,
1837,HazelNut,2202,,424,818,960,,
1837,skcs,2202,,410,864,928,,
1837,RSHS,2202,,400,668,1134,,
1837,1A2012,2202,,330,812,1060,-2,
1841,Rony23,2200,,446,746,1008,,
1841,sandeshghanta,2200,,432,916,852,,
1841,polarbear08,2200,,184,932,1084,,
1841,bin_0808,2200,,432,812,956,-2,
1841,P4L,2200,,484,816,900,,
1846,qrfkickit,2198,,470,900,828,,
1846,Shrey97,2198,,230,932,1036,,
1846,StarLee,2198,,470,876,852,,
1846,Nimazare,2198,,478,792,928,,
1850,ReliableExcaDemo,2196,,286,556,1354,,
1850,asinop,2196,,416,896,884,,-2
1850,Pand9,2196,,-1,944,1252,-4,
1850,lolicon234,2196,,-1,936,1260,-6,
1854,cornhsu,2192,,402,844,946,,
1854,omshubham99,2192,,416,864,912,,
1854,salihfc,2192,,402,876,914,,
1854,macsyg,2192,,488,644,-5,1060,
1858,Anubhav,2190,,412,834,944,,
1858,sjimed,2190,,170,856,1164,,
1858,giaoger,2190,,422,806,962,-1,
1861,Ritchie,2188,,378,916,894,,
1862,abhinav3010,2186,,356,852,978,,
1862,Adia,2186,,294,848,1044,,
1862,ani.bohara,2186,,480,940,766,,
1865,Void_Monitor,2184,,464,880,840,,
1866,bonzai,2182,,-1,968,1214,,
1867,xing_mo,2180,,456,710,1014,-1,
1867,thsr2556,2180,,466,884,830,,
1867,Saurabh303,2180,,486,928,766,,
1867,C21,2180,,-1,878,1302,-5,
1867,DADDY_HONG,2180,,420,818,942,,
1867,milandungrani,2180,,424,904,852,,
1867,ZhouZhengyu,2180,,466,892,822,-3,
1874,ruhan.habib39,2178,,290,556,1332,-5,
1875,ZZHzzh0_0,2176,,482,808,886,,
1875,zahra..d,2176,,424,834,918,,
1877,satya26,2174,,476,864,834,,
1877,pnershy13,2174,,428,750,996,,
1879,ArnavGarg,2172,,-1,924,1248,,
1880,jurichhh8,2170,,476,770,924,,
1880,abhinav_jain02,2170,,452,764,954,,
1882,AynaP,2168,,462,758,948,,
1882,zyb111,2168,,474,818,876,,
1882,koprus77,2168,,422,904,842,,
1885,IvanJobs,2166,,470,852,844,,
1885,dimdem,2166,,410,826,930,-1,
1887,ivan.sachkovski,2164,+1,266,678,1120,,
1887,rasen__shuriken,2164,,478,768,918,,
1889,ChandlerH,2162,,478,880,804,,
1889,Yinku2017,2162,,356,860,946,-2,
1889,jh9277,2162,,364,880,918,,
1889,I_love_Kim_Possible,2162,,340,862,960,,
1889,mini4141,2162,,488,932,742,,
1894,qwe854896,2160,,404,786,970,-2,
1895,codeminion,2158,,484,896,778,,
1895,SAUPeking,2158,,424,834,900,-1,
1897,nsut_coder,2156,,436,904,816,,
1898,mennafadali,2154,,150,878,1126,,
1898,wang_yiming,2154,,482,900,772,,
1900,brijesh1998,2152,,424,768,960,-3,
1901,Matheus.Monteiro,2150,,392,908,850,,
1902,gheorghe_armand,2146,,-1,924,1222,-3,
1902,cm05,2146,,486,932,728,-2,
1904,Eskimo111,2144,,430,916,798,,-1
1905,MaddyThakker,2142,,430,752,960,,
1905,rebel_2020,2142,,482,760,900,,
1905,julius9499,2142,,484,752,906,,
1908,dunko,2140,,470,880,790,,
1908,theroot,2140,,488,924,728,,
1910,aryan_luffy,2138,,400,478,1260,,
1910,MoNsTeR_CuBe,2138,,372,632,1134,-4,
1912,rkstar1207,2136,,486,814,836,,
1913,verymuch4470,2134,,422,740,972,,
1913,hyfhaha,2134,,456,646,1032,,
1913,prey176,2134,,360,856,918,,
1913,haizhe,2134,,416,860,858,,
1917,FlyWhite,2130,,366,864,900,,
1917,PouyaNavid,2130,,430,712,988,,
1919,ruterute1,2128,,484,936,708,,
1919,xzh2004,2128,,440,812,876,,
1921,fbosnjak,2126,,-3,896,1230,-1,
1921,__pupil__chino,2126,,476,696,954,,-1
1921,tajirhas9,2126,,236,666,1224,-1,
1921,z5x3,2126,,348,810,968,,
1921,Mooncrater,2126,,480,904,742,,
1921,dqtr03,2126,,414,752,960,,-3
1927,Economic,2124,,204,684,1236,,
1927,Pozdnyakov,2124,,480,786,858,,-2
1927,PopovPavel,2124,,426,656,1042,-3,
1927,ShubhamAvasthi,2124,,438,774,-1,912,
1931,BOSS_,2122,,418,648,1056,,
1931,Adai_is,2122,,362,872,888,,
1931,gaelim,2122,,412,872,838,-1,
1934,subham-75,2120,,408,836,876,,
1934,may_007,2120,,428,884,808,,
1936,wangshu,2118,,362,794,962,-1,
1937,SarcasticGeek,2114,,474,900,740,,
1937,thirtiseven,2114,,374,850,890,,
1937,bruce1114,2114,,472,754,888,,
1937,MintChocoLove,2114,,264,900,950,,
1941,sky48,2112,,-1,948,1164,-3,
1942,SOrry_UUUUh,2110,,438,832,840,,
1942,*rahulDugar,2110,,,,,,2110
1942,Drice,2110,,464,722,924,,
1945,haha_lol,2108,,438,858,812,-1,
1945,zilvery,2108,,488,834,786,,
1945,RM_inf,2108,,424,838,846,,
1945,Angry_penguin,2108,,164,810,1134,-1,
1949,APwhitehat,2106,,440,828,838,-1,
1949,moontrack,2106,,234,784,,1088,
1949,sudekidesu,2106,,218,822,1066,-1,
1952,Dainty_Lord,2104,,452,800,852,,
1952,PyAlpha,2104,,486,712,906,,
1952,QAQorz,2104,,378,736,990,-3,
1955,Abhinav__,2102,,484,920,698,,
1955,NeverBeNutella,2102,,276,920,906,-2,
1957,hellion,2100,,474,822,804,,
1957,Gingka,2100,,372,750,978,,
1959,allenguan11,2098,,-2,916,1182,,-2
1960,Catoz,2096,,488,816,792,,
1960,17110906047,2096,,468,802,826,,
1962,cfantasy,2094,,384,884,826,,
1963,xiaobuxie,2092,,466,816,810,,
1964,crankshaft,2090,,448,796,846,,
1964,s.t.,2090,,-1,782,1308,,
1966,spider_void,2088,,412,856,820,,
1966,17110581098,2088,,482,814,792,,
1968,Tassle,2086,,-4,916,1170,-1,
1968,alconblue,2086,,-1,862,1224,,
1970,SeerZero,2082,,422,772,888,,
1971,appro,2080,,428,824,828,,
1971,pun97it,2080,,422,758,900,,
1973,Ashish,2078,,198,900,980,,-2
1973,Gohnny,2078,,426,722,930,,
1973,YannLuo,2078,,-1,896,1182,-3,
1976,alxy,2076,,474,762,840,,
1977,Ctalker,2074,,370,606,1098,,
1977,lucky3977,2074,,338,808,928,,
1979,amitj4056,2072,,474,900,698,,
1979,raja_123,2072,,466,760,846,,
1979,k24,2072,,-1,932,1140,,-3
1979,yotin,2072,-1,436,810,876,,
1979,rohan1506,2072,,360,740,972,,
1984,andrewmoca04,2068,,-3,892,1176,-1,
1985,_Lumos,2062,,320,802,940,,
1985,wxppy,2062,,466,726,870,,
1985,slappy,2062,,476,838,748,,
1988,x_zadfar,2060,,480,826,754,,
1988,NcuNce,2060,,412,832,816,,
1988,aniks2645,2060,,434,924,702,,
1991,PaulVarm,2052,,410,844,798,-1,
1992,masamasa,2050,,262,666,1122,-2,-1
1993,hkIsBack,2048,,478,520,1050,,
1993,a_n_m,2048,,150,928,970,,
1995,TanJX,2046,,456,782,808,,
1995,BigPolandBro,2046,,432,916,698,,
1997,hkyiitd,2044,,484,572,988,,
1998,ellfslmn,2042,,-1,932,1110,-4,
1998,M__,2042,,482,632,928,,
2000,mmi366127,2036,,-2,940,1096,-2,
2001,potato.max,2034,,-1,834,1200,,
2001,Nirav,2034,,206,884,944,,
2001,prashan_yadav,2034,,474,740,820,,
2004,Dili_iiii,2030,,404,576,1050,,
2005,stones,2028,,380,820,828,,
2006,kdjjain,2026,,434,820,772,,
2007,canticle,2024,,414,732,878,-1,
2008,DICS,2020,,360,626,1034,,
2009,ankur314,2016,,430,608,978,,
2009,Hasti_hsd,2016,,282,744,990,,
2011,KillReal,2014,,380,862,772,,
2011,vitalikgolubko156,2014,,416,800,798,,
2011,KobeDuu_,2014,,362,860,792,,
2014,ashikur.rahman,2010,,296,622,1092,,
2015,TooGood,2006,,494,492,1020,,
2015,Shattered,2006,,424,472,1110,,
2017,aniKet_gAjare,2004,,392,682,930,-2,
2018,Yl4682B4,2002,,-1,836,1166,-2,-1
2018,lsklsklsk,2002,,190,852,960,,
2018,chugaev,2002,,256,636,1110,,
2021,akakw1,2000,,-1,-1,928,1072,
2022,dark_pain,1998,,264,912,822,,
2023,guanhuhao,1996,,358,738,900,,
2023,SongHL,1996,,462,544,990,,
2023,ibrahim129,1996,,426,552,1018,,
2026,08karishma,1992,,-1,932,1060,-3,
2026,nishanksrj,1992,,480,630,882,,
2028,Undying,1990,,422,682,886,,
2028,llfz,1990,,364,884,742,,
2030,dragon_bra,1988,,366,740,882,,
2031,Mansurbek,1986,,400,668,918,,
2031,shivang_garg_99,1986,,474,876,636,,
2033,prakhar_777,1984,,-1,850,1134,-2,
2034,Phom_Dao,1982,,344,732,906,,
2034,invincible_StromComing,1982,,368,726,888,,
2036,Altickium,1980,,414,770,796,,
2037,fmj_123,1978,,302,644,1032,,
2038,asdfqwert,1976,,238,868,870,,
2038,astro_lion,1976,,200,852,924,,
2038,usertab34,1976,,-2,590,1386,-5,
2041,a11eca,1972,,460,726,786,,
2042,henu_16l_lxl,1970,,-1,908,1062,-2,
2043,QuartZ_Z,1966,,-1,928,1038,,
2044,lukasanarski,1962,,-4,864,1098,-2,
2044,heguangfu,1962,,456,864,642,,
2044,Mohd.,1962,,434,-3,,1528,-3
2047,dwai009,1960,,362,810,788,,
2048,Xones,1950,,-1,864,1086,-1,-1
2049,ashashwat,1948,,198,748,1002,,
2050,Fluffy_X,1944,,304,548,1092,,
2051,gamer_coder13,1942,,422,694,826,,
2051,ram_24,1942,,252,808,882,,
2051,a.ani865,1942,,222,876,844,,
2054,Kavi1234,1938,,-2,888,1050,,-1
2054,eggplant71,1938,,214,860,864,,
2054,Yatsumura,1938,,434,550,954,-1,
2057,mehrdad_sohrabi,1936,,-2,810,1126,-1,
2058,vegsu848,1934,,182,746,1006,,
2058,Schelski,1934,,418,724,792,,
2060,Kissheart,1932,,478,604,850,,
2060,jaqenhghar98,1932,,478,678,776,,
2060,h_elloworl_d,1932,,356,634,942,,
2063,Shan_Xian,1930,,374,744,812,-3,
2064,QuincyTan,1924,,330,796,798,,
2064,Arturoku,1924,,182,902,840,,
2064,Mynesis,1924,,302,782,840,,
2067,XiaoMingZHM,1922,,378,716,828,,
2068,xoke,1920,,488,660,772,,
2069,dm1k9thisyear,1916,,404,666,846,,
2070,fwl,1912,,204,866,842,,
2071,Smile_zw,1910,,-1,916,994,,
2072,y2823774827y,1906,,378,700,828,,
2073,stepsys,1898,,-1,944,954,,-1
2074,liulx15,1896,,-2,840,1056,,
2075,shuai_hui,1894,,462,698,734,,
2076,AshveenBansal,1890,,-1,750,1140,,
2076,h4sjohnson,1890,,150,756,984,,
2078,Cqt_Iostream,1884,,-1,816,1068,,-1
2079,Makarov,1880,,250,884,746,,
2080,kbagoli1999,1878,,440,528,910,,
2081,rais017,1876,,474,676,726,,
2082,cfdxwk,1874,,-2,836,1038,,-1
2082,MateoCV,1874,,464,676,734,,
2084,ghost_of_sparta1,1870,,-1,916,954,,
2085,hsay,1862,,166,838,858,,
2086,Soror_Tina,1860,,-1,702,1158,-1,
2087,Arcadii,1858,,372,664,822,,
2088,nitsshukla,1856,,286,754,816,,
2088,allenite,1856,,206,552,1098,,
2090,kanishkarj1998,1854,,418,694,742,,
2091,Hanani,1848,,486,912,450,,
2092,Rdpaula,1838,,-4,912,926,,-2
2093,zzq233,1836,,482,682,672,,
2094,bmatissek,1834,,198,718,918,,
2094,amstan,1834,,484,476,874,,
2096,programbhavan,1820,,286,780,754,,
2097,HellAngel,1816,,-2,,,1816,-1
2097,pchail,1816,,480,648,688,,
2099,1600,1812,,302,540,970,,
2100,anshkhanna7,1808,,280,496,1032,,
2101,Slonik,1804,,322,486,996,,
2102,*gs18115,1798,,270,,,1528,-2
2102,INNERCIRCLE,1798,,490,-1,1308,,-4
2104,ghoast,1792,,-1,754,1038,,
2105,adipinstyx,1790,,402,554,834,,
2106,Jefri_007,1786,,472,-1,1314,,
2107,free__bird,1784,,170,744,870,,
2107,yaoxuhoang,1784,,-2,772,1012,,
2109,nhatvy,1780,,276,464,1040,,
2110,krzybar,1770,,-3,720,1050,,-1
2111,xxxyk,1768,,490,-2,1278,-3,
2112,gs18103,1766,,300,620,846,-4,
2112,str0ct,1766,,326,698,742,,
2114,Arese,1764,,322,708,734,,
2115,zmwang,1756,,288,610,858,,
2116,xkjcom,1754,,488,,1266,,
2117,Nspyia,1750,,174,712,864,,
2118,Anus1373,1748,-1,-1,828,970,,
2119,arpit4427,1744,,300,586,858,-4,
2119,limelight,1744,,436,-1,1308,-3,
2121,rishabh.ranjan,1742,,-1,856,886,,
2122,qwertyy123321,1738,,300,526,912,,
2122,vsft,1738,,-1,802,936,,
2122,old_chap,1738,,294,716,728,,
2125,Odyssey1999,1732,,484,-1,1248,,
2126,AbhiY13,1724,,-2,800,924,,
2127,David-M,1720,+2,492,-2,1078,,
2128,asntr,1718,,-1,824,894,,
2128,h4rdlyfunc710n4l,1718,,488,-1,1230,,-1
2130,QIUmi,1710,,-2,720,990,,
2131,doublewang,1708,,150,352,1206,,-1
2132,*NephrenRuqInsania,1704,,444,,,,1260
2132,MKuchum,1704,,360,796,548,-1,
2134,mystery_boy,1702,,304,588,810,,
2135,shado_w,1700,+2,422,-2,1078,,
2135,codancer2000,1700,+1,484,-1,1116,,
2137,Performanceartist,1698,,-2,736,962,,
2138,ULIRE,1694,,414,830,450,,
2138,atmucoder,1694,,-1,758,936,,
2138,xht37,1694,,488,-1,1206,-1,-1
2141,xiayuhandalao,1692,,-1,714,978,,
2142,adiah,1690,,-1,840,850,,
2142,ironman2212,1690,,470,386,834,,
2144,ZhuChenyu,1682,,316,474,892,,
2145,179000,1680,,472,374,834,,
2145,sochta_hun,1680,,-1,840,840,,
2147,KristinAlter,1678,,-1,862,816,,
2148,wanfeng_s,1668,,-1,786,882,,
2148,1330786175,1668,,150,692,826,,
2150,gnad,1666,,436,-2,1230,-5,
2151,3agwa,1658,+1,376,-1,1182,,
2152,Megalomania,1650,,-2,828,822,,
2153,Princ_iple,1642,+2,470,972,-1,,
2154,NikitaSemenov,1638,,480,-1,1158,,
2155,mnicd,1636,,-3,772,864,,
2156,Policarpo,1634,,410,-1,1224,-1,-1
2156,JusTice,1634,+3,470,864,,,
2158,saurabh_dtu,1632,,490,406,736,,
2158,Born_Confused,1632,,426,-1,1206,,
2160,User_19836,1628,,428,,1200,-4,
2161,sp17,1622,-1,484,-1,1188,,
2162,SamHX,1612,,422,326,864,,
2163,xyq0220,1606,,150,678,778,,
2164,Vigilante-ZPZ,1604,,450,438,716,,
2165,thelittleboy,1602,,486,-5,1116,-3,
2166,wijae,1594,,250,-1,1344,,-2
2167,NongDiaoXiang,1590,,,,,,1590
2167,*nwi,1590,,,,-2,-2,1590
2167,Noimin,1590,,258,-1,1332,-9,
2170,Tantor,1588,+1,198,-1,1290,,
2171,windhs,1582,,-3,706,876,,
2172,n27,1580,,-2,780,800,,
2173,*how_to_become_purple,1576,,,,,1576,
2173,EgorShibaev,1576,,468,-5,1108,,
2175,darkqueen,1568,,482,-1,1086,,
2176,qsh17,1564,,484,-4,1080,-1,
2176,ATmega328,1564,,418,-1,1146,-1,
2178,DenisR,1552,,494,-1,1058,-3,
2179,*yashChandnani,1550,,,,,,1550
2180,nj099,1548,+2,454,944,-1,,
2181,amangupta87,1544,,482,-1,1062,,
2182,sooobus,1542,,468,-2,1074,,
2182,CheeseLover,1542,,172,536,834,,
2184,_HossamYehia_,1540,+1,488,952,,,
2185,JK47,1528,+1,492,936,-1,,
2185,Abh1Kudo,1528,+3,472,806,-1,,
2187,asfd221,1526,,484,-1,1042,,
2188,viditjain08,1514,,418,-1,1096,,
2188,lord_fenwick,1514,+2,474,840,,,
2190,Dicer_,1506,+1,478,-1,1078,,
2191,Floryk,1502,,-1,800,702,,
2192,the1vanyes,1498,,298,,1200,-4,
2193,WAWAtewa,1488,,456,-3,1032,,
2194,nuoyanli,1478,,490,988,,,
2195,menirus95,1476,,390,-2,1086,,
2195,bikingyes,1476,,388,-6,,1088,
2195,Mr_Emrul,1476,+1,440,936,-7,,
2195,Shahat,1476,+1,486,890,,,
2199,*dai,1470,,,,,,1470
2199,utkarshsinha97,1470,,-5,584,886,,
2201,Cottonyeti,1468,,496,972,-1,-4,-2
2202,339,1466,+1,474,892,,,
2203,faishol27,1462,,438,-6,1024,,
2204,hiteshpardasani99,1456,,492,964,,-2,
2205,rishi_07,1452,,492,960,,-5,
2205,felixwong,1452,,492,960,,-4,
2207,HEARTOWAVE,1450,,490,960,-3,,
2207,weird_penguin,1450,,430,-4,1020,,
2209,nic6200,1448,,492,956,,,
2209,AceIn,1448,,488,960,,-5,
2211,learner_321,1444,,492,952,,,
2211,geckods,1444,,484,-2,960,-2,
2213,akali,1440,,480,960,,,-2
2213,golub,1440,,492,948,,-2,
2213,iMac,1440,,488,952,,-1,-4
2216,Sinhov,1438,,494,944,,,
2216,NoNoiseNewyork,1438,,,,1438,,
2216,som,1438,,490,948,-1,-7,
2216,rudr,1438,,470,968,,,
2220,antohir,1436,,488,948,,-4,
2220,blast,1436,,488,948,,,
2220,Quiet_Space_time,1436,,412,-4,1024,,
2223,hyp1231,1434,,490,944,,-2,
2223,pratikgk45,1434,,490,944,,,
2225,Mike_Wasowski,1432,,488,944,-2,,
2225,tiantian5,1432,,488,944,,-3,
2225,CaNDidaTE_FaSTer,1432,,468,-1,964,,
2225,nikich340,1432,,488,944,-1,-7,
2225,Amit_Pandey,1432,,484,948,,,
2230,phantomI,1430,,490,940,,,
2230,arsh99,1430,,490,940,,,
2230,ProfessorCalculus,1430,,490,940,,,
2230,rahulkhairwar,1430,,486,944,,,
2230,shahincsejnu,1430,+2,474,756,,,
2235,TheRogueOne,1428,,490,-1,938,,
2235,nik1996,1428,,488,940,,,
2235,iamyashh,1428,,488,940,,,
2235,__gauravsingh,1428,,488,940,,,
2235,ccw630,1428,,492,936,-1,-3,
2240,Bojack,1426,,490,936,,,
2240,yogeshk972,1426,,486,940,,,
2240,Charlizard,1426,,-1,908,518,,
2240,prabhtej,1426,,486,940,,,
2244,Dardy,1424,,488,936,,,
2244,Ranadev_CaptainR,1424,,488,936,-1,,
2244,shivangchopra11,1424,,488,936,-5,,
2244,Raja_nsvkp,1424,,488,936,,,
2244,ilya13524,1424,,488,936,,-1,
2244,faizan_amjad,1424,,488,936,,,
2244,shildast,1424,,488,936,,,
2244,ayisn_timur,1424,,488,936,,,
2252,BohdanVey,1422,,490,932,-1,-4,
2252,Aaman007,1422,,490,932,,,
2252,Out-Of-Reach,1422,,490,932,,,
2252,Shahidul1004,1422,,486,936,,,
2256,ALILILILILI-KHAN,1420,,488,932,-2,,
2256,ankurdhir111,1420,,488,932,,-5,
2256,Michailus,1420,,460,-1,960,,
2256,qudratulloh,1420,,480,940,,,
2256,nikit523,1420,,488,932,-1,,
2261,hackslash_123,1418,,486,932,,,
2261,C919,1418,,486,932,,,
2261,akashpatil219,1418,,486,932,,,
2264,Febrin,1416,,492,924,,,
2264,nethish,1416,,488,928,,,
2264,_JOJO_,1416,,488,928,,,
2264,Sumukh_Bhardwaj,1416,,484,932,,,
2264,dhruval161,1416,,492,924,-1,-5,
2264,GolD_Batyr,1416,,488,928,,,
2264,its_ulure,1416,+1,438,928,,,
2271,XzzF,1414,,486,928,,,
2271,Mahdi_Shokoufi,1414,,486,928,-2,,
2271,dan04,1414,,490,924,,,
2274,sjsasb_,1412,,484,928,,,
2274,Cyatrosi,1412,,484,928,,,
2274,abdu.srazh,1412,,488,924,,,
2277,bakapiano,1410,,486,924,,,
2277,kishanradia,1410,,486,924,,-1,
2277,Humayan_Kabir,1410,,482,928,,,
2277,tractor74.ru,1410,,442,968,,-5,
2277,_VNY_,1410,,486,924,,,
2282,dworst077,1408,,488,920,,,
2282,arshad2117,1408,,488,920,-1,,
2284,Yash_Jain,1406,,478,928,,,
2284,kartikay26,1406,,486,920,,,
2284,sauravraj62,1406,,486,920,,,
2284,Zula_,1406,,486,920,,,
2288,*Mohammad_Yasser,1404,,,,1404,-5,
2288,badassiumoxide,1404,,480,924,,,
2290,Ivan_Frost,1402,,482,920,,,
2290,saip2823,1402,,482,920,-3,,
2290,Darknight,1402,,482,920,,,
2290,rohan_ardulous,1402,,478,924,,,
2290,hvk3,1402,,480,-1,922,,
2290,syyz_lxy,1402,,490,912,,,
2296,a20034294,1400,,476,924,,,
2296,Underdog_eagle,1400,,480,920,,,
2296,euler1,1400,,484,916,-2,,
2296,buzz_95,1400,,480,920,,,
2296,Stucked,1400,,460,940,,,
2296,*ulna,1400,,,,,,1400
2296,pj21,1400,,488,912,-1,,
2303,vyassamir,1398,,486,912,,,
2303,thestsaikat,1398,,486,912,,,
2303,bansals888,1398,,486,912,,,
2303,I_Love_Zzq,1398,,490,908,,,
2303,valerikk,1398,,486,912,,,
2303,jason7777,1398,,482,916,,-5,
2303,MesutZ,1398,,486,912,,,
2310,jainadit67,1396,,480,916,,,
2310,hansc0320,1396,,484,912,,,
2312,nitksomu,1394,,482,912,,,
2312,PhuongPeu,1394,,486,908,-1,,
2312,Reziba,1394,,458,936,,-7,
2312,vstrimaitis,1394,,438,956,-1,-3,-3
2312,LM.10,1394,,486,908,,,
2312,baleen_whale,1394,,486,908,,,
2318,Kodnot,1392,,488,904,,,
2318,vivekZI,1392,,484,908,,,
2318,kiomi,1392,,484,908,,,
2318,nostalin,1392,,488,904,-2,,
2318,saisurya027,1392,,494,898,,,
2318,TediDinuta,1392,,488,904,,,
2318,sanchit_20,1392,,476,916,,,
2318,prabhath123,1392,,484,908,,,
2318,RedStone,1392,,440,952,-1,-1,-4
2318,ankitp544,1392,,480,912,-1,-2,
2328,coderbond007,1390,,438,952,,-10,
2328,shristid,1390,,482,908,,,
2328,gabilash1104,1390,,478,912,,,
2328,ZeroAmbition,1390,,482,908,,,
2328,you_know_who_,1390,,454,936,,-4,
2328,preda2or,1390,,474,916,,-3,
2328,Worstbrain,1390,,482,908,,,
2328,aakash,1390,,482,908,,,
2328,NasibSu,1390,,482,908,-1,,
2337,TOPWINDFLOWER,1388,,480,908,,,
2337,rj25,1388,,476,912,,,
2337,2016wudi,1388,,440,948,-2,,
2337,kzyKT,1388,,494,894,,,
2341,goku98,1386,,482,904,,,
2341,Aman_98,1386,,482,904,,,
2341,MYNAMEISSHARIFUL,1386,,482,904,,,
2341,kuliangce,1386,,478,908,,,
2341,keke_haha,1386,,490,896,,,
2346,Kishan_143,1384,,476,908,,,
2346,jaideoka,1384,,480,904,-1,,
2346,ansisgustavs2,1384,,480,-1,904,,-1
2346,harsh_jindal,1384,,484,900,,,
2346,qyqyq,1384,,490,894,,,
2346,sakt_coder,1384,,476,908,-1,,
2352,kiet.nguyenbk2804,1382,,474,908,-1,,-3
2352,ashish4321,1382,,482,900,,,
2352,Sasha0738,1382,,482,900,,,
2355,TzuWei,1380,,150,-1,1230,-4,
2355,Changyu,1380,,484,896,,,
2355,pracboi,1380,,440,940,,,
2355,abhi2601,1380,,476,904,,,
2355,sirius_white,1380,,480,900,,,
2355,swust5120170583,1380,,484,896,-2,,
2355,ProximaCentauri,1380,,490,890,-5,,
2362,hobbit_of_madness,1378,,474,904,,,
2362,Ali_Zaiback,1378,,482,896,,,
2362,jung_e_elaan,1378,,490,888,,,
2362,meetpr8,1378,,474,904,,,
2362,_DarkDawn_,1378,,488,890,,-2,
