2019-01-21 16:41:33.511780
#,Who,=,*,A,B,C,D,E
121,yah01,4518,,214,912,-1,1622,1770
122,shihoru,4510,,434,948,1392,1736,-4
123,SlavaSSU,4504,+2,494,948,1318,1544,-2
124,benson1029,4492,,496,980,1386,1630,-3
125,Snipx,4484,,494,968,1374,1648,-1
126,Catmoonlight,4474,,444,964,1386,1680,-2
127,JSK_Darko,4468,,488,956,1368,1656,
128,Sorting,4466,,492,964,1386,1624,-3
129,bitset0,4462,,494,968,1410,1590,-3
130,PugachAG,4458,,494,964,1368,1632,-1
131,KieranHorgan,4456,+2,494,960,1344,1458,
132,Meowl,4452,,494,968,1374,1616,
132,edenooo,4452,,492,964,1356,1640,-2
134,HatsuneMikuo,4446,,434,940,1368,1704,-5
135,hermano95,4442,,492,960,1374,1616,-3
136,tiliguzov,4432,,490,952,1350,1640,-1
137,mredigonda,4418,,486,936,1356,1640,-1
138,PrakharJain,4410,,492,968,1374,1576,
139,TwoMinions,4406,,484,932,1350,1640,-8
139,from_last_to_first,4406,,488,956,1386,1576,-5
141,solaimanope,4404,,490,948,1350,1616,-8
141,dasdull,4404,,490,964,1374,1576,-1
143,ghj1222,4402,,492,890,1374,1646,
144,Martynas,4394,,490,960,1368,1576,-4
145,SPatrik,4386,,490,948,1380,1568,-2
146,Jon,4384,,492,956,1368,1568,-1
147,MonkeyKing,4378,,442,952,1368,1616,
147,txingml,4378,,488,948,1350,1592,-6
149,LanrTabe,4374,,492,932,1326,1624,
150,meopass_kira,4372,+5,490,936,1326,1120,
150,8192,4372,,486,940,1362,1584,-4
152,ymahajan98,4368,+1,492,936,1320,1520,
153,eulerscheZahl,4360,,490,952,1368,,1550
153,suikabenzene,4360,,492,960,1356,1552,
155,balakrishnan,4358,,492,964,1392,1510,-3
156,pigeon_killer,4354,,434,944,1368,1608,
156,neckborov,4354,,494,972,1422,1466,
156,AVM.Martin,4354,,490,952,1380,1532,-7
159,DomiKo,4350,,494,972,1318,1566,-1
159,xrdog,4350,+1,490,948,1326,1486,
159,hsfzLZH1,4350,,492,902,1374,1582,-1
162,b21quocbao,4346,,490,948,1356,1552,-6
163,hearthewsong,4340,,492,952,1344,1552,-4
164,scauweng,4336,,490,952,1350,1544,
165,DovydasVad,4334,+1,436,948,1338,1512,
165,Marinkovic,4334,,492,956,1368,1518,
167,fsshakkhor,4332,,440,928,1428,1536,-4
168,Lius,4330,,492,956,1356,1526,-4
169,ATSTNG,4328,,490,956,1362,1520,
169,paulocezar,4328,,482,940,1338,1568,
171,iamgqr,4326,,490,952,1332,1552,-1
171,YunGoon,4326,,416,972,1356,1582,-2
173,xwchow,4322,,440,956,1368,1558,-3
174,W--o_o--W,4318,+1,494,914,1356,1454,
175,InFiNiTeemo,4316,,486,944,1368,1518,-1
176,Nicholas_Patrick,4314,,492,956,1362,1504,-1
176,kimjihoon,4314,,490,956,1356,1512,
178,m1sterzer0,4312,,488,948,1356,1520,
178,Death_Scythe,4312,,436,948,1368,1560,
180,bartkaw,4308,,492,936,1338,1542,-2
181,sharpener,4304,,438,948,1350,1568,-2
182,lrvideckis,4302,,430,902,1356,1614,-6
182,oihyxc,4302,,492,844,1356,-1,1610
184,JoseSoto,4300,,492,952,1296,1560,
185,goodbye2018,4298,,496,948,1398,1456,
186,klimmek55,4296,,434,898,1332,1632,-1
187,DP_I_J_K,4292,,436,944,1344,1568,-4
187,FlashHu,4292,+2,490,936,1314,1352,
189,nejineji,4288,,490,940,1338,1520,-3
190,Allen_3,4280,,486,944,1314,1536,-2
190,jiangly,4280,,478,920,1314,1568,
192,Ahmad1,4276,,492,948,1356,1480,-2
192,slicedclementines,4276,,442,906,1368,1560,-2
194,luqingxin,4272,,484,936,1308,1544,-2
195,Ahmad,4270,,444,952,1380,1494,
195,mghzzs1997,4270,,494,968,1398,1410,
197,zusuyu,4268,,424,924,1344,1576,
197,_no0B,4268,,486,944,1302,1536,-1
199,Firastic,4262,,444,964,1386,1468,-2
200,comfi,4260,,486,940,1338,1496,-2
201,AlmaDeVerde,4256,,492,960,1332,1472,
201,hytzongxuan,4256,,492,952,1300,1512,-6
201,___Johniel,4256,,490,940,1338,1488,
204,OIerC,4248,,488,960,1320,1480,-2
205,yswness,4246,+2,484,928,1284,1350,
206,flaviu2001,4242,+3,444,804,1368,1326,-2
206,taew,4242,,422,944,1350,1526,-2
208,ViciousCoder,4240,+1,492,910,1338,1400,
209,dhruvsomani,4238,,490,808,1240,,1700
210,YouKn0wWho,4232,,492,956,1320,1464,-4
210,savsmail,4232,,482,944,1294,1512,-3
212,SAeed,4228,,490,892,1398,1448,
213,stefdasca,4224,+1,494,968,1410,1302,-2
214,_HYX_,4222,,494,940,1332,1456,-4
214,KKOOPP,4222,,436,944,1332,1510,
216,balalaika,4220,,492,960,1272,1496,-1
