2019-01-21 16:41:33.511780
#,Who,=,*,A,B,C,D,E
558,uvwzyx,3580,,412,908,1290,970,
559,Corvus,3578,,494,952,1170,962,
560,idsigma,3574,,492,898,1374,810,
561,cj_dzf,3570,,484,928,1260,898,
561,nyashiki,3570,,488,834,1194,1054,
561,adi1998,3570,,490,846,1236,998,
564,mixNIk999,3566,,472,900,1188,1006,
565,usernameson,3562,,484,904,1120,1054,
566,LJ_believer,3556,,298,770,1158,,1330
566,for_njxz,3556,,478,880,1170,1028,
568,msuwakow,3554,,-1,904,1266,1384,
569,mridul1809,3546,,480,904,1092,1070,
569,Pretest,3546,,476,846,1128,1096,
571,sakib_muhit,3544,,432,888,1152,1072,
572,edsa,3540,,420,952,1204,964,
573,NimaV,3538,,492,948,1326,772,
573,luyehao,3538,,480,896,1050,1112,
575,2017SSY,3536,,468,896,1236,936,
576,deja-vu,3534,,350,860,1116,1208,
576,AbhishekVanjani,3534,,436,952,1224,922,
578,fengjk,3532,,434,854,1210,1034,
578,zzuli_sigh,3532,,482,912,1260,878,
578,Dmit_riy,3532,,422,888,1058,1164,
581,HuuMaNoID,3520,,486,796,1152,1086,
582,nyhuang,3518,,488,920,1146,964,
582,Pavs,3518,,486,834,1046,1152,
584,too_weak_too_slow,3504,,362,876,1146,1120,
585,Honour_00,3498,,376,696,990,1436,-1
586,zjf_juruo,3496,,426,624,1086,,1360
587,lypl,3490,,-2,956,1198,1336,
588,Nightmare05,3488,+2,-1,928,1272,1088,
589,mr.stefan,3484,,490,846,916,1232,
590,i_am_undefeatable_22,3480,,434,874,1192,980,-1
590,Lane_,3480,,-1,940,1308,1232,
592,we1erstrass,3476,,440,898,1122,1016,-2
593,algmyr,3472,,474,940,870,1188,
594,Azat_Yusupov,3462,-1,492,932,920,1168,
595,Guty,3458,,480,912,1118,948,
596,qhqh,3456,,436,874,1252,894,
596,maomao9173,3456,,482,556,1242,1176,
598,zxyl,3454,,440,964,1350,700,-3
599,ravimsr06,3452,,474,872,1042,1064,
600,CRRRRR2016,3450,,478,694,1134,1144,
601,wh_ZH,3432,,478,932,1200,822,
602,Sina_Abbasi,3422,,490,860,1000,1072,
603,mohamad,3418,,490,960,1368,600,
603,WJT,3418,,-1,936,1308,1174,
605,EK.,3416,,488,822,1230,876,
606,Dota_Air,3394,,294,858,1194,1048,
607,disangan233,3382,,366,768,1236,1012,
608,gjing,3374,,470,856,810,1238,
609,LiPro,3362,,348,544,1224,1246,
610,coano2000,3336,,412,794,1038,1092,
610,dimapet,3336,,434,936,904,1062,
612,cookiebus,3334,,482,760,1194,898,-4
613,opukittpceno_hhr,3332,,394,964,1374,600,
614,ccsu_cat,3322,,480,928,1314,600,
615,otaliptus,3242,,-1,892,1158,1192,
616,deefoxx,3234,+4,494,960,1380,,
617,robert1003,3224,,-1,956,1302,966,-1
618,mrmarsh,3214,,-2,912,1158,1144,
619,kruntuid,3192,,418,784,942,1048,
620,dastan,3178,+2,492,952,,1534,
621,young_midoriya,3170,,394,736,1012,1028,
622,AleXman111,3100,+4,442,944,1314,-1,-2
623,Hamsterw,3098,,494,964,-1,-1,1640
624,AngrySeal,3090,,-5,786,1128,1176,
625,PO3OBAR_Bblnb,3086,,494,-1,1362,1230,
626,mikeweat,3074,+2,436,948,-1,-1,1490
627,MagicSpark,3066,+4,324,968,1374,-6,-1
628,FuyuMai12,3054,+2,492,964,1398,-7,-1
629,omar22,3050,+2,494,964,1392,-3,
630,Black_Ghost,3042,+3,440,964,1338,-7,
631,SovietPower,3040,+3,494,932,1314,-6,
632,nagpaljatin1411,3026,+4,434,908,1284,-4,
633,wakax365,3016,+3,388,912,1416,,
634,I_Love_Lera_Bulgakova,3014,+3,486,956,1272,,
635,onjo,3008,,492,956,-1,1560,-7
636,BFLSTiger,3002,,-1,824,1116,1062,
637,DANDROZAVR,3000,+2,494,976,1330,-1,
638,lisifu,2992,-2,494,960,-1,1638,-5
639,pleb,2980,+5,490,844,1146,,
640,ToMyDong,2966,,440,960,-2,1566,-3
641,NekoKarp,2964,,150,870,906,1038,
642,sdssudhu,2962,-1,-2,944,1146,922,
643,P___,2946,,490,944,-1,1512,-1
644,RollingHash,2944,+1,494,964,1386,-1,
644,im0qianqian,2944,+3,490,882,-1,1272,
646,TheRedLegend,2940,+2,490,936,1314,-1,
647,....................,2934,,484,-1,1026,1424,-1
648,jiangtao,2932,+4,228,948,1356,-2,
649,i_am_nothing,2926,,490,-1,1284,1152,
650,Evro,2920,+2,442,940,1338,-2,-1
651,MasT_,2908,,438,-1,1144,1326,
651,re_eVVorld,2908,,492,960,-1,1456,
653,nonumx,2904,,292,608,936,1068,
654,RazerMaster,2898,,462,900,-1,1536,-6
655,Nickwzk,2868,,428,-1,1128,1312,
656,LuckyPaper,2866,+1,496,952,1318,-4,-1
657,ILoveDoraemon,2864,+3,434,932,1198,,
657,BiteTheDust,2864,+1,488,944,1332,-4,
659,vnd,2860,+2,444,910,1356,-3,-4
660,summitwei,2858,,492,894,-1,1472,-3
661,DIvanCode,2856,+3,490,894,1272,-1,-1
661,Arrias,2856,,496,980,1380,-5,
663,passer__,2850,+5,484,900,966,,
664,rchehab,2848,,494,968,1386,-4,-1
664,killer_god,2848,,492,964,1392,-1,
664,lclpsoz,2848,,494,968,1386,-4,
667,nitishk24,2844,,494,928,1422,-4,
668,Jester,2840,,492,956,1392,-4,-1
669,Amorphophallus,2838,,470,936,-1,1432,
669,Sidiq_HA,2838,,486,972,1380,-1,-2
671,face4,2834,,492,968,1374,-3,-2
671,PinkieRabbit,2834,,494,960,1380,-4,
673,dortmund,2832,,490,956,1386,-5,
673,Stelutzu,2832,,494,964,1374,-8,
673,w0nsh,2832,,494,964,1374,-1,-1
676,Hydrangeas,2828,,494,948,1386,-8,-4
677,TargetLocked,2822,,494,960,1368,-1,-2
677,vlfom,2822,,494,960,1368,-1,-2
679,Shtef,2820,,490,956,1374,-4,
680,Vladimirr.Petrunko,2818,,492,964,1362,-7,
680,sfialok98,2818,,492,952,1374,-2,
682,Chhatarpur,2816,+1,492,964,1260,,
682,perekopskiy,2816,,490,952,1374,-7,
682,zhsh,2816,,490,952,1374,-8,
685,Bhj2001,2814,,492,960,1362,-2,
686,linjek,2812,,444,964,1404,-12,
687,mechanic,2810,+2,490,928,1192,-1,
687,simem,2810,,490,952,1368,-5,-1
689,tryhard,2808,,492,948,1368,-1,
690,CNik,2806,+2,488,936,1182,-1,
691,zysbzddsj,2804,,492,944,1368,,-6
692,Vazgen,2800,,492,952,1356,-3,
693,azdev910,2798,,484,874,,1440,
694,armoking,2796,,494,976,1326,,
694,Khujamurod97,2796,,492,948,1356,,
694,sddyzjh_will_lose_weight,2796,,494,710,-1,1592,
694,gprano,2796,,492,960,1344,-4,
698,natofp,2792,,492,896,1404,-7,
699,meltout,2790,,490,944,1356,-1,
699,s4ulg00dm4n,2790,,170,-1,996,1624,
699,houzhe,2790,,490,944,1356,-2,-2
702,Itst,2788,,494,964,1330,-5,-1
703,konicyQwQ,2784,,494,952,1338,,-1
704,Lich_King,2780,,464,908,-1,1408,-3
704,Reem,2780,,488,948,1344,-2,
706,danza,2778,,492,960,1326,-7,
706,khokharnikunj8,2778,,490,964,1324,-1,-1
708,sj_hellfire,2776,,490,960,1326,-5,
708,nikita777,2776,,494,956,1326,,
710,potoooooooo,2774,,490,952,1332,-4,
710,2018szb,2774,,488,948,1338,,
710,OMG_wc,2774,,490,940,1344,-2,
713,joulej,2772,,488,952,1332,-3,-1
713,A.Kaan42,2772,+3,484,862,1176,,
715,sameep17264,2770,,490,948,1332,-5,
715,Mavzes,2770,+1,482,930,1258,,
717,Fuzen527,2768,,440,960,1368,-3,
717,zaki_joho,2768,,492,896,1380,-4,
719,xproxmess,2766,,442,956,1368,-4,
719,BaCkeiI,2766,+2,488,866,1212,,
719,zilioner,2766,,490,956,1320,-2,-1
719,LiuRunkY,2766,,490,944,1332,-4,
723,Cinnamoroll,2764,,492,910,1362,-3,-1
723,mts_246,2764,,490,936,1338,-7,
723,Markomafko972,2764,,436,948,1380,-3,
723,tgprozorova,2764,,492,952,1320,-2,
723,hovny,2764,,470,678,,1616,
728,WillWang98,2762,,488,948,1326,-2,
729,IT_MACHINE,2760,,488,952,1320,-7,
730,pushpendra1997,2758,+2,386,932,1290,-3,
730,zendo,2758,,438,952,1368,-5,-1
732,selpo,2756,,492,932,1332,,-7
733,amazing_rat,2754,,440,940,1374,-7,
733,Lets_chill_tonight,2754,,494,940,1320,,-1
735,akapros,2752,,490,956,1306,-1,-1
735,SteadyStudent,2752,,490,948,1314,,-1
735,nmnmnmnmnmnmnm,2752,,488,932,1332,-3,-1
738,JATC,2748,,488,952,1308,-2,-1
738,DesiChamp,2748,,428,904,1416,,
738,Dos,2748,,446,904,1398,-3,
738,hett,2748,,494,928,1326,-6,
742,jk89,2746,,490,948,1308,-4,
743,kozima,2744,,438,896,1410,-5,
744,sjc061031,2742,,438,948,1356,-5,
744,Sunnat,2742,,486,876,1380,,-2
744,O__o,2742,,438,960,1344,-5,
747,ZzZZCHS,2740,,492,940,1308,-3,
748,lightgreen,2738,,490,928,1320,,-1
749,AlluMihu,2736,,494,940,1302,-5,
749,mikit,2736,,488,952,1296,-5,
749,yoshinoz,2736,,484,944,1308,,-2
752,DeepThought42,2734,-1,486,948,1350,-2,
753,Amoo_Hashem_Mehraban,2732,+1,434,928,1320,-5,
753,Hemnath_D,2732,,490,940,1302,-3,
753,xianhaoming,2732,,482,896,1354,-3,
753,lesswrong,2732,,488,948,1296,,-1
757,Creed_,2730,,488,948,1294,-6,
757,milosz,2730,,490,944,1296,-2,-1
757,demoralizer,2730,+2,482,940,1108,,
760,Nickname124,2728,,494,956,1278,-12,
760,reew2n,2728,,490,882,1356,-4,-4
760,MyVegetableHasExploded,2728,,492,928,1308,,
760,wewark,2728,,492,960,1276,-4,
764,11eleven,2726,,454,880,1392,-3,
764,Tigutor,2726,,492,944,1290,-3,
764,Chlience,2726,,482,936,1308,-4,
764,giangpro93,2726,,486,932,1308,-2,
768,Kewo,2724,,490,932,1302,-5,
768,hypomaniac,2724,,492,948,1284,-1,
768,arjun_9426,2724,,490,944,1290,-2,
771,manishtanwar,2722,,488,920,1314,-3,
771,Nick_Evans,2722,,436,948,1338,-2,
773,shahidul_brur,2720,,490,952,1278,-1,
773,pushkar12,2720,,490,952,1278,-5,
773,Baharevim,2720,,490,940,1290,-5,
773,patak,2720,,490,960,1270,-5,
773,GZY_AK_IOI,2720,+1,466,944,1260,,
773,maruii,2720,,488,882,1350,-3,
773,I_Love_Sophia_Yaropud,2720,,384,956,1380,,
780,didgogns,2718,,432,936,1350,-9,
780,Darkstalker,2718,,490,944,1284,,
782,lgm9,2716,,370,834,-1,1512,-3
782,cs_tree,2716,,482,920,1314,,
782,_Dark_Shadow_,2716,,492,928,1296,-2,
782,doge233,2716,,486,940,1290,,
786,ankurdua15,2712,,484,948,-1,1280,-1
786,Tolmachev,2712,,490,944,1278,-2,
786,Shisuko,2712,,492,960,1260,,
786,AJ_Coder,2712,,454,860,1398,-3,
790,AHTOH._.,2710,,488,944,1278,,
790,Best_Master_Yoda,2710,,432,940,1338,-3,-3
790,eu3neuom,2710,,496,972,1242,-3,
793,comzyh,2708,,416,-1,1218,1074,
793,Bassel,2708,,430,940,1338,-6,-1
793,omikad,2708,,474,944,1290,-2,
796,Shinbai,2706,,492,956,1258,,
796,nimom,2706,,488,940,1278,-3,
796,link_dont_cut_tree,2706,,476,916,1314,,
796,koikotya,2706,,488,928,1290,-2,
796,snow39,2706,,492,960,1254,-5,
796,Butskhrikidze,2706,+3,488,928,990,-2,
796,acIN1go,2706,,486,936,1284,-4,
796,whyzker,2706,,484,944,1278,,-1
796,deep123flare,2706,,436,944,1326,,
805,drastogi21,2704,,430,936,1338,-2,
805,grated,2704,,438,940,1326,-4,
805,lhl322,2704,,484,924,1296,-4,
808,dyslexia,2702,,440,948,1314,,-1
808,D1orite,2702,,486,932,1284,,
808,wh1te_whale,2702,,492,956,1254,,
808,mukel,2702,,434,936,1332,,-13
812,Kerpoo,2700,+1,490,736,1374,-1,
812,hat,2700,,484,920,1296,,
814,DeD_TihoN,2698,,484,882,1332,-3,
814,kuzmoid,2698,,488,932,1278,-1,
816,EremeevD,2696,,434,948,1314,-5,
817,Bengal_Tiger,2694,,492,948,1254,-1,
817,lebeg,2694,,482,940,1272,,
819,HCPS42,2692,,488,948,-1,1256,
820,KanuaK,2690,,488,936,1266,,
820,kuryakov2,2690,,486,932,1272,-2,
820,Redwan_Plague,2690,,488,944,1258,-1,
820,LoveAnimeDesu,2690,,486,932,1272,-2,
820,spellstaker,2690,,488,936,1266,,
820,rajgarg150873,2690,,482,936,1272,,
826,Timonnable,2688,,486,948,1254,-1,
826,woniurufeng,2688,,484,892,,1312,
826,c0per,2688,+1,284,948,1356,-2,
826,Kadi,2688,,488,928,1272,,
826,dyxx,2688,,436,932,1320,-4,
831,Hadi_A,2686,,486,948,1252,,
831,zeyunow,2686,,492,886,1308,-5,-1
831,sysjuruo,2686,,432,940,1314,-2,
831,Choopa_choops,2686,,490,894,1302,-2,
831,ArcherKing,2686,,486,832,1368,,
836,killer_bee,2684,,490,936,1258,-5,
836,FominSergey,2684,,488,944,1252,,
836,iehn,2684,,490,956,1238,-13,
836,AKCqhzdy,2684,,486,944,1254,-6,
840,claro_henrique,2682,,424,-4,1122,1136,
840,4llower,2682,+2,490,944,1048,-6,
842,Hipo_3412,2680,,432,940,1308,-5,
842,K_A_R_E_N,2680,,486,886,1308,-5,-2
844,Mindjolt,2678,,492,932,1254,,
844,CLT,2678,,488,840,1350,-1,-1
844,forceawakened,2678,,490,940,1248,-1,
844,HukuToc,2678,,488,924,1266,,
848,Scayre,2676,,442,920,1314,-4,
848,TABball,2676,,484,932,1260,,
848,JAGUAR_108,2676,,488,928,1260,-1,
848,mukhametgalin,2676,,492,948,1236,-3,
848,wangju,2676,,484,908,1284,-2,
848,Radu_filipescu,2676,,364,880,,1432,-2
848,HCI,2676,,492,882,1302,-5,
855,cshuenss,2674,,438,952,1284,,
855,amitgomi,2674,,488,940,1246,,
855,codgician,2674,,490,840,1344,-2,
855,NeLeGaL,2674,,492,940,1242,-1,
859,Timely_Rain,2672,,472,904,1296,-5,
859,raghav0307,2672,,490,874,1308,-4,
861,tisthepurple,2670,,490,908,1272,,
861,wyj_alone_smile,2670,,484,932,1254,-2,
861,halohalo,2670,,492,902,1276,-6,
864,cmd035,2668,,486,928,1254,,-1
864,smart_iyer,2668,,428,932,1308,-5,
866,Stephan_,2666,,486,932,1248,-5,
866,AllureLove.,2666,,436,940,1290,-1,
866,kostia244,2666,,492,944,1230,-8,-1
866,mursago,2666,,492,890,1284,-1,
866,shiv1470,2666,,490,928,1248,,
866,alishahali1382,2666,,384,944,1338,,-5
866,lts_,2666,,434,924,1308,-3,
866,Everglow,2666,+2,418,884,1164,,
866,4l5n3,2666,,434,932,1300,-9,
875,chirag11032000,2664,+2,492,940,1032,,
875,fro11o,2664,,470,940,1254,-7,
875,bigdekopon,2664,,492,964,1208,-1,-1
875,Randooom,2664,+1,432,916,1266,,
875,mikigrubic,2664,,438,948,1278,,
880,raghav.blacklist1,2662,,432,928,1302,,
880,Tasnim,2662,,490,948,1224,-4,
882,River,2660,,478,904,1278,-2,
882,rdfzXR,2660,,426,932,1302,-4,
882,Grut,2660,,486,944,1230,,
885,sky3141,2658,,480,912,1266,,-1
885,Dodolphin,2658,,488,940,1230,,
885,farukkastamonuda,2658,-1,486,944,1278,,-8
885,fauzdar65,2658,,490,940,1228,-5,
885,wa007,2658,,428,928,1302,-4,
885,maozaozao,2658,,490,932,1236,-2,
885,FarmerKb,2658,,490,944,1224,-2,
885,sash0,2658,,480,912,1266,-4,
893,dharmilp,2656,,438,940,1278,,
893,moeis0,2656,,472,900,1284,,
893,tukan-king,2656,,494,968,1194,-5,
893,Dmitriev,2656,,490,948,1218,-3,
897,dmkozyrev,2654,,490,924,1240,-2,
897,nishank.suresh,2654,,494,972,1188,-2,
897,chengwenhao2006,2654,,490,952,1212,-2,
900,Sanazmgh,2652,,484,878,1290,-2,
900,lqz_t,2652,,490,920,1242,-1,
902,HardNut,2650,,470,916,1264,-4,-2
902,TheAnshul,2650,+3,428,784,1138,,
902,kingside,2650,,486,886,1278,-2,
902,Bonirt,2650,,490,960,1200,-5,-1
902,Vegeken_Lin,2650,,476,866,1308,,
902,Anton_Roy,2650,,488,932,1230,-3,
908,AronBM,2648,,494,882,1272,-3,
908,AhmedGhazaly,2648,,488,948,1212,,
908,livw,2648,,378,932,1338,-4,
908,yangzijun,2648,,436,928,1284,-1,
912,ryansee,2646,,414,862,,1370,-1
912,WangNimei,2646,,472,908,1266,-4,
914,Aglaya,2644,,490,924,1230,-4,
914,Latens,2644,,478,924,1242,-4,
914,straw_boy,2644,,490,924,1230,-4,-1
914,AndresRPerez12,2644,,428,920,1296,-5,
914,wxyww,2644,+2,282,866,1296,,
919,spar5h,2642,,492,960,-1,1190,
919,uniqriv,2642,,432,908,1302,,-1
919,opooopooo,2642,,480,908,1254,-2,
919,ziliuziliu,2642,,486,890,1266,-4,
919,harshit601,2642,,488,956,1198,-1,
919,Ostad_George,2642,,484,874,1284,-6,
925,knandy,2640,,484,866,1290,-3,
925,Mr.Hakimov,2640,,492,948,1200,,
927,Naumovich,2638,,484,924,1230,,
927,yagami3566,2638,,440,964,1234,-12,
929,Dalimus,2636,,444,944,1248,-2,-1
929,dxd666,2636,,486,854,1296,,-2
929,1552382553,2636,,480,908,1248,-1,
929,osu,2636,,422,960,1254,,
933,Hello_zhr,2634,,492,744,1398,-5,
933,harvey_specterr,2634,,476,904,1254,,
933,MaRos,2634,,490,952,1192,-1,
936,trifangrobert,2632,,486,904,1242,,
936,Rhouma,2632,,434,944,1254,-3,
936,Lina_Paucar,2632,,484,936,1212,-4,
936,himank,2632,,,,1242,,1390
936,zjz123,2632,,472,900,1260,-3,
936,Kuzia,2632,+1,438,816,1278,,
942,whyo,2630,,488,924,1218,-2,
942,ohlms,2630,,436,916,1278,-1,
942,Codeforce_123,2630,,488,936,1206,,-1
942,SatsukiPrime,2630,,486,908,1236,-1,
946,Karial,2628,,488,948,1192,,
946,peredayte_za_proezd,2628,,438,936,1254,-4,
948,Aman312,2626,,488,940,1198,,
948,ondr12,2626,,430,924,1272,,
948,achulkov2,2626,,482,920,1224,,
951,ShJ,2624,,490,940,1194,-4,
951,special_noob,2624,,488,936,1200,-1,
953,frontseatastronaut,2622,,434,928,1260,-1,
953,ZieiN,2622,,-1,560,882,1180,
953,NewFlow,2622,,482,940,1200,,
953,rakeshcodeit,2622,,482,916,1224,,
953,WarKing,2622,,490,952,1180,-5,
953,Bench0310,2622,,484,932,1206,-1,-3
953,myHandle,2622,,492,912,1218,,
960,Berted,2620,,488,908,1224,-11,
960,puneetrai04,2620,,492,936,1192,-5,
962,chiheb19,2618,,482,924,1212,-3,
962,ayushghd,2618,,490,952,1176,-1,
962,iphreetom,2618,,482,912,1224,-6,
965,misaka27149,2616,,430,908,1278,-3,
965,sam7007,2616,,490,920,1206,,
967,Apachesunset,2614,,432,844,1338,-3,-1
967,MikamiYua,2614,,438,928,1248,-1,-1
967,Valeri_Stanchev,2614,,486,936,1192,,
967,834929914,2614,,486,940,1188,-2,
971,ahgus89,2612,,492,842,1278,-3,
971,samarth1729,2612,,434,936,1242,-2,
973,misanthrop.vg,2610,,486,874,,1250,-1
973,Vitz,2610,,490,932,1188,-1,
973,alexxx998,2610,,440,952,-2,1218,-1
973,clock3456u89-,2610,,490,782,1338,-8,
973,ol1v3r,2610,,432,924,1254,,
978,psevdoinsaf,2608,,422,928,1258,-9,
978,Garen,2608,,476,896,1236,-1,
978,sirjan13,2608,,468,916,1224,,
978,dumb_ape,2608,,430,924,1254,-1,
982,ayakut,2606,,424,856,1326,-4,
982,ambesh,2606,,482,936,1188,,-1
982,devid,2606,,230,972,1404,-3,-1
985,ardan,2602,,434,932,1236,-4,
985,garipov.roma,2602,,434,932,1236,-6,
985,IIIIIIIIIIIIIIIIIIIII,2602,,492,906,,1204,-4
985,guanaco96,2602,,480,924,1198,-3,
985,BATM4N,2602,,486,936,1180,,
985,BRCode,2602,,490,940,1172,-8,
985,Lunatch,2602,,486,882,1234,-2,
992,mariowong,2600,,492,824,1284,,
992,PurpleCarrot,2600,,486,920,1194,-2,
992,Regius,2600,,478,904,1218,-2,
992,Robin_Lo,2600,,484,892,1224,-2,
992,Altern,2600,,488,936,1176,-2,
997,creep04,2598,,378,882,1338,-6,
997,stupid_lad,2598,,454,884,1260,-2,
999,HassanAbadi,2596,,478,900,1218,-1,
999,Emgariko,2596,,476,896,1224,-3,
1001,Kognition,2594,,270,956,1368,-8,-1
1001,oleg76,2594,,490,960,1144,-2,
1001,AJ47,2594,,432,932,1230,-2,
1001,satyacse,2594,,486,908,1200,,
1005,ZERO.,2592,,484,944,1164,-1,
1005,eki,2592,,482,862,1248,-10,
1007,paroothisumit95,2590,,432,862,1296,-6,
1007,purple_bro,2590,,486,850,1254,-5,
1007,Dysania,2590,,484,936,1170,-1,-1
1010,ayubansal1998,2588,,474,896,1218,,
1010,DatoTS,2588,,486,896,1206,,
1012,shubhiks1032,2586,-1,488,948,1200,,
1013,zstu_jack,2584,,494,932,1158,-6,
1013,__naruto__,2584,,376,924,1284,-2,
1013,IsacLucian,2584,,476,920,1188,,
1013,Iplayer,2584,,488,866,1230,,-1
1013,gkashish,2584,,488,932,1164,,
1013,GuimaHohl,2584,,482,896,1206,-1,
1019,wasaixiaohao,2582,,476,864,1242,,
1019,ali-sa,2582,,436,916,1230,,-1
1021,valhallaIamcoming,2580,,486,816,1278,-1,
1021,TessaViolet,2580,,436,920,1224,,
1021,abhishek_20123,2580,,470,880,1230,,
1021,atalasion,2580,,434,862,1284,-1,
1021,crash_owl,2580,,478,896,1206,-1,
1021,sssSSSay,2580,,490,920,1170,-4,
1027,rock2193,2578,,478,912,1188,,
1027,Zibi,2578,,490,886,1202,-5,
1027,akathil,2578,,486,874,1218,,
1027,MadeOnEarth,2578,,436,912,1230,-1,
1027,ernestfan,2578,,480,868,1230,,-1
1027,sacheendra9044,2578,,484,924,1170,,
1033,akshat98,2576,,488,948,1140,,
1033,Lilixin6666,2576,,482,936,1158,-2,-2
1035,M_H_H_7,2574,,434,924,1216,-8,
1035,backup_noob,2574,,492,888,1194,-2,
1035,Byakko,2574,,478,920,1176,-3,
1035,Beast_Within,2574,,420,888,1266,-3,-1
1035,winter2121,2574,,492,936,1146,,
1035,Boolean17,2574,,370,920,1284,,-1
1035,mohit1O98,2574,,488,948,1138,,
1042,MuhammadMoustafa,2572,,484,924,1164,-3,
1042,Moments_,2572,,488,884,1200,-5,
1042,fmrozaqi,2572,,486,888,1198,-1,
1042,roma1n,2572,,488,866,1218,,
1042,RDmitriyS,2572,,480,916,1176,,
1042,dracarys27,2572,,476,916,1180,-2,
1042,vhminh,2572,,482,908,1182,-2,
1049,vaibhav_garg,2570,,482,936,1152,,
1049,shnoh,2570,,482,912,1176,-2,
1049,stEvo,2570,,486,932,1152,-2,
1049,pparwal12,2570,,468,884,1218,-1,
1053,jaigurudev,2568,,474,900,1194,,
1053,WeYoungZ,2568,,476,904,1188,-3,
1053,baranwalm,2568,,472,896,1200,,
1053,devvats,2568,,490,874,1204,,
1053,cat_of_orange,2568,,486,882,1200,-2,
1058,Misimao,2566,,494,956,1116,,
1058,jus_a_noob,2566,,476,884,1206,,
1060,PengsenMao,2564,,494,972,1098,-1,-6
1060,rc_4594,2564,,486,944,1134,,
1060,paulzrm,2564,,358,928,1278,-7,
1063,orz_liuwei,2562,,398,706,1458,-1,-3
1063,chc_1234567890,2562,,484,896,1182,-2,
1065,Sem_1337,2560,,370,912,1278,-6,
1065,XOR_star,2560,,488,830,1242,-6,
1065,2005LSZ,2560,,484,924,1152,-3,
1068,McDic,2558,,-1,646,990,922,
1068,BurkayKirnik,2558,,404,924,1230,-1,
1068,Sage_NJ,2558,,492,854,1212,-4,
1068,limabeans,2558,,484,874,1200,-4,-1
1068,Rogue33,2558,,488,924,1146,,
1068,KappaChinos,2558,,494,780,1284,,
1068,syk040424,2558,,426,896,1236,-4,
1075,apashyampa_kirikiri,2556,,382,932,1242,,-2
1075,wtltw,2556,,448,734,1374,-3,
1075,RohiTman659,2556,,480,900,1176,,
1075,Blind_is_love,2556,,478,904,1174,-2,
1075,duyy,2556,,488,862,1206,-1,
1080,abisheka,2554,,382,858,1314,,-1
1080,ankusht,2554,,490,882,1182,-4,
1080,binhh,2554,,480,904,1170,,
1080,lmyy0862,2554,,474,880,1200,,
1080,Milena_Bulkina,2554,,486,916,1152,,-1
1080,toma-toma,2554,+1,448,782,1324,-7,
1086,2fat2code,2552,,432,920,1200,-2,
1086,XORier,2552,,482,870,1200,-1,
1086,kostyamyasso2002,2552,+1,434,870,1148,,
1086,ibrahim_habib,2552,,486,940,1126,-4,
1090,lofix,2550,,426,912,1212,,
1090,ususucsus,2550,,490,944,1116,,
1090,misophonic,2550,,470,916,1164,,
1090,IAmMyHope,2550,,484,920,1146,-3,-1
1090,gtx1080,2550,,494,820,1236,,
1095,trungvthe130284,2548,,418,900,1230,-3,
1095,durid17,2548,,422,896,1230,,
1095,vatsalsonigara,2548,,484,912,1152,,
1095,deevroman,2548,,480,838,1230,,
1099,MyCyF,2546,,474,830,1242,-4,
1099,okoks9011,2546,,482,912,1152,,
1101,Glamorgan,2544,,458,880,1206,-5,
1101,csandras,2544,,428,808,1308,,
1101,zjwldn,2544,,474,936,1134,-2,-1
1101,xiuxian,2544,,352,908,1284,-3,
1101,romarioGI,2544,,436,878,1230,-3,
1101,_Samir,2544,,484,896,1164,-1,
1101,Minyoo,2544,-2,484,924,1236,,
1108,dam0n,2542,,490,948,1104,,
1108,Hossam,2542,,480,924,1138,,
1110,Ilistratov,2540,,362,900,1278,-9,
1110,Enkognit,2540,,440,890,1210,-4,
1112,Max_Balsells,2538,,468,888,1182,,
1112,deidzen,2538,,484,904,1150,,
1112,shubham__36,2538,,272,952,1314,-4,
1112,SDUT_HK,2538,,478,872,1188,,
1112,DerUbermensch,2538,,368,904,1266,,
1117,GandarfGamer,2536,,492,838,1206,,
1117,Gabies,2536,,474,904,1158,,
1117,fyj_404,2536,,492,748,1296,-4,-3
1120,thenoobestever,2534,,484,888,1162,,-3
1120,xuqin,2534,,460,880,1194,-1,
1120,Humanoid,2534,,468,902,1164,-1,
1120,karthickmj,2534,+2,452,844,1038,,
1124,maulic,2532,,480,858,1194,,
1124,Sohara_Mitsuki,2532,,438,886,1208,,
1124,heyucongtom,2532,,482,916,1134,,
1124,grand_zeno,2532,,492,960,1080,-1,
1124,HazemEssawi,2532,,490,920,1122,-4,
1124,ygape1s,2532,,486,840,1206,-3,
1130,Pronod,2530,,428,928,1174,-5,
1130,shivam077,2530,,436,948,1146,,
1130,vivekcrux,2530,,476,896,1158,-2,
1130,Hutch,2530,,488,944,1098,,
1130,Phanix,2530,,434,916,1180,,
1130,avirammagen11,2530,,426,892,1212,-1,
1130,ckxkexing,2530,,438,850,1242,-2,
1130,_c_k_r_,2530,,488,920,1122,,
1138,rkocharyan,2528,,494,828,1206,,-3
1138,artifexbm,2528,,486,920,1122,-1,
1138,woshiluo,2528,,284,948,1296,-3,
1138,henry_y,2528,,490,916,1122,,
1138,Limeni,2528,,482,900,1146,-1,
1138,sunliwei,2528,,480,924,1124,,
1144,MyTry,2526,-1,384,932,1260,-2,
1144,swetanjal,2526,,490,896,1140,,
1144,wangsili,2526,,492,928,1106,-1,
1144,TungstenC,2526,,484,920,1122,-2,
1144,milan11,2526,,488,932,1106,,
1144,_xenon,2526,,484,860,1182,-2,
